голени 2,25,25,25,25,,
,25,25,25,25,,2500
разгибания,59,59,59,59,,
,21,21,21,21,,4956
Жим одной ногой,75,75,75,75,,
,15,15,15,15,,4500
Жим 2мя ногами,170,170,170,170,,
,15,15,15,15,,10200
Подтягивания ,81,81,81,81,,
,11,11,11,11,,3564
Скручивания сверху диагональные,13,13,13,13,,
,0,0,0,0,,0
Колесо пресс,22,22,22,22,,
,0,0,0,0,,0
Приседания на полусфере,80,80,80,80,,
,20,20,20,20,,6400
,,,,,,33500
,,,,,,
,,,,,,
3/25/2026,,,,,,
79.95,1,2,3,4,5,6
голени подъем,40,40,40,40,,
,26,26,26,26,,4160
сгибания,45,45,45,45,,
,22,22,22,22,,3960
голени 2,25,25,25,25,,
,26,26,26,26,,2600
разгибания,59,59,59,59,,
